rule_code,variant_no,title,body
TOTAL_WEAK,1,{{name}}님의 사주 한눈에 보기,"{{dm.nameKo}}({{dm.hanja}}) 일간에 {{gyeok|ko}}격이며, 일간의 힘이 조금 여린 신약 사주입니다. 주변을 섬세하게 살피는 힘이 장점이고, 배움과 협력으로 기반을 다질수록 운의 폭이 넓어집니다."
TOTAL_BALANCED,1,{{name}}님의 사주 한눈에 보기,"{{dm.nameKo}}({{dm.hanja}}) 일간에 {{gyeok|ko}}격이며, 돕는 기운과 덜어 내는 기운이 비슷한 중화 사주입니다. 한쪽으로 치우치지 않아 상황에 따라 유연하게 방향을 바꿀 수 있고, 오행 중에서는 {{oh.max|ko}}의 기운이 가장 두드러집니다."
TOTAL_STRONG,1,{{name}}님의 사주 한눈에 보기,"{{dm.nameKo}}({{dm.hanja}}) 일간에 {{gyeok|ko}}격이며, 일간을 돕는 기운이 많은 신강 사주입니다. 스스로 판단하고 밀고 나가는 힘이 좋아, 에너지를 쏟을 목표가 분명할수록 운이 잘 풀립니다."
TOTAL_VERY_STRONG,1,{{name}}님의 사주 한눈에 보기,"{{dm.nameKo}}({{dm.hanja}}) 일간에 {{gyeok|ko}}격이며, 일간의 힘이 매우 강한 극신강 사주입니다. 뚝심과 주도력이 뛰어난 만큼, 넘치는 힘을 일과 표현, 나눔으로 흘려보낼 때 흐름이 가장 좋아집니다."
TOTAL_GYEOK_JEONGGWAN,1,신뢰로 쌓아 가는 삶,"격국(사회에서 힘을 쓰는 방식)이 정관격입니다. 원칙과 약속을 지키며 차근차근 자리를 넓혀 가는 흐름으로, 오래 머문 곳에서 신뢰가 쌓일수록 기회가 커집니다."
TOTAL_GYEOK_PYEONGWAN,1,도전 속에서 단단해지는 삶,"격국(사회에서 힘을 쓰는 방식)이 편관격입니다. 압박이나 경쟁이 있는 환경에서 오히려 실력이 드러나는 흐름으로, 어려운 일을 해결한 경험이 쌓일수록 결단력과 존재감이 커집니다."
TOTAL_GYEOK_JEONGJAE,1,성실함이 자산이 되는 삶,"격국(사회에서 힘을 쓰는 방식)이 정재격입니다. 꾸준히 일한 만큼 결과가 쌓이는 흐름으로, 계획을 세우고 관리하는 능력이 삶 전체의 안정감을 만들어 줍니다."
TOTAL_GYEOK_PYEONJAE,1,넓게 움직이며 기회를 잡는 삶,"격국(사회에서 힘을 쓰는 방식)이 편재격입니다. 사람과 정보가 오가는 넓은 무대에서 기회를 포착하는 흐름으로, 활동 반경을 넓힐수록 재물과 경험이 함께 늘어납니다."
TOTAL_GYEOK_SIKSIN,1,재능을 꾸준히 펼치는 삶,"격국(사회에서 힘을 쓰는 방식)이 식신격입니다. 좋아하는 일을 성실하게 이어 갈 때 복이 따르는 흐름으로, 한 분야를 깊게 익혀 자기만의 결과물을 만드는 데 강점이 있습니다."
TOTAL_GYEOK_SANGGWAN,1,틀을 넘어 새 길을 여는 삶,"격국(사회에서 힘을 쓰는 방식)이 상관격입니다. 기존 방식에 머물기보다 새로운 표현과 방법을 찾는 흐름으로, 말과 기술, 창의력이 곧 경쟁력이 됩니다."
TOTAL_GYEOK_JEONGIN,1,배움과 보살핌으로 크는 삶,"격국(사회에서 힘을 쓰는 방식)이 정인격입니다. 배움과 자격, 좋은 조력자를 통해 자리를 잡는 흐름으로, 공부한 만큼 신뢰와 인정이 뒤따르기 쉽습니다."
TOTAL_GYEOK_PYEONIN,1,남다른 시각으로 깊이를 더하는 삶,"격국(사회에서 힘을 쓰는 방식)이 편인격입니다. 남들이 지나치는 부분을 알아보는 직관과 전문성이 돋보이는 흐름으로, 한 분야를 깊게 파고드는 일에서 두각을 나타내기 쉽습니다."
TOTAL_GYEOK_GEONROK,1,스스로 일어서는 삶,"격국(사회에서 힘을 쓰는 방식)이 건록격입니다. 물려받기보다 자기 힘으로 기반을 세우는 흐름으로, 성실함과 자립심이 가장 큰 재산이 됩니다."
TOTAL_GYEOK_YANGIN,1,강한 추진력으로 판을 여는 삶,"격국(사회에서 힘을 쓰는 방식)이 양인격입니다. 한번 정하면 밀어붙이는 힘이 강한 흐름으로, 그 에너지를 분명한 목표와 규칙 안에서 쓸 때 큰 성과로 이어집니다."
TOTAL_WOOD_OVER40,1,목 기운이 강한 흐름,"사주에서 목(木)의 비중이 {{oh.ratio.WOOD|pct}}에 이릅니다. 시작하고 성장시키는 힘이 삶의 중심에 있어 새로운 일을 벌이는 시기에 운이 잘 붙지만, 마무리 단계에서는 속도를 조절하는 지혜가 필요합니다."
TOTAL_FIRE_OVER40,1,화 기운이 강한 흐름,"사주에서 화(火)의 비중이 {{oh.ratio.FIRE|pct}}에 이릅니다. 드러내고 알리는 힘이 커서 사람들의 시선이 모이는 자리에 서기 쉽고, 열정이 과열되지 않도록 쉬어 가는 리듬을 만들어 두면 좋습니다."
TOTAL_EARTH_OVER40,1,토 기운이 강한 흐름,"사주에서 토(土)의 비중이 {{oh.ratio.EARTH|pct}}에 이릅니다. 지키고 쌓아 가는 힘이 커서 안정감이 장점이지만, 변화가 필요한 순간에는 결정을 미루지 않도록 기한을 정해 두는 편이 좋습니다."
TOTAL_METAL_OVER40,1,금 기운이 강한 흐름,"사주에서 금(金)의 비중이 {{oh.ratio.METAL|pct}}에 이릅니다. 판단하고 정리하는 힘이 커서 기준이 분명하지만, 사람을 대할 때는 결론보다 과정을 함께 나누면 관계가 더 부드러워집니다."
TOTAL_WATER_OVER40,1,수 기운이 강한 흐름,"사주에서 수(水)의 비중이 {{oh.ratio.WATER|pct}}에 이릅니다. 생각과 정보가 풍부하게 흐르는 사주라 기획과 탐구에 강하고, 생각이 많아질 때는 몸을 움직여 실행으로 옮기는 습관이 도움이 됩니다."
TOTAL_WOOD_NONE,1,목 기운 채우기,"원국에 목(木)이 보이지 않습니다. 목은 시작과 성장의 기운이라, 새로운 배움이나 식물 가꾸기, 아침 산책처럼 자라나는 활동을 생활에 들이면 흐름이 한결 부드러워집니다."
TOTAL_FIRE_NONE,1,화 기운 채우기,"원국에 화(火)가 보이지 않습니다. 화는 표현과 온기의 기운이라, 햇볕을 쬐는 시간이나 사람들 앞에서 생각을 말해 보는 경험을 늘리면 존재감과 활력이 살아납니다."
TOTAL_EARTH_NONE,1,토 기운 채우기,"원국에 토(土)가 보이지 않습니다. 토는 중심을 잡는 기운이라, 규칙적인 식사와 수면처럼 생활의 기본 리듬을 지키는 것만으로도 마음이 안정되고 일이 차곡차곡 쌓입니다."
TOTAL_METAL_NONE,1,금 기운 채우기,"원국에 금(金)이 보이지 않습니다. 금은 정리와 결단의 기운이라, 할 일 목록을 정리하고 끝낼 시점을 정해 두는 습관을 들이면 흩어진 에너지가 결과로 모입니다."
TOTAL_WATER_NONE,1,수 기운 채우기,"원국에 수(水)가 보이지 않습니다. 수는 쉼과 성찰의 기운이라, 충분한 휴식과 혼자 생각을 정리하는 시간을 확보할수록 판단이 깊어지고 쉽게 지치지 않습니다."
TOTAL_ADVICE_VERY_WEAK,1,삶의 조언,"무리해서 모든 것을 혼자 해내려 하지 마세요. 믿을 수 있는 사람과 역할을 나누고 체력과 마음을 먼저 챙길 때 운이 따라옵니다."
TOTAL_ADVICE_WEAK,1,삶의 조언,"새로운 일을 시작하기 전에 배움과 준비의 시간을 충분히 두세요. 기반이 단단할수록 기회가 왔을 때 오래 붙잡을 수 있습니다."
TOTAL_ADVICE_BALANCED,1,삶의 조언,"균형이 장점인 사주이니, 한쪽으로 크게 치우치는 선택보다 꾸준함을 지키는 선택이 결국 가장 멀리 갑니다."
TOTAL_ADVICE_STRONG,1,삶의 조언,"넘치는 추진력을 여러 곳에 나눠 쓰기보다 가장 중요한 목표 하나에 모으세요. 주변의 의견을 들을 여유가 성과를 더 키웁니다."
TOTAL_ADVICE_VERY_STRONG,1,삶의 조언,"강한 힘은 나눌수록 빛납니다. 가르치고 돕는 역할이나 운동처럼 에너지를 건강하게 흘려보낼 통로를 꼭 만들어 두세요."
PERS_FALLBACK,1,타고난 기운,"{{name}}님은 {{dm.nameKo}}({{dm.hanja}}) 일간으로, {{oh.max|ko}}의 기운이 가장 두드러진 사주입니다. 아래 세부 풀이에서 성향을 이루는 요소를 차례로 살펴보세요."
PERS_DM_GAP,1,"곧게 뻗은 큰 나무, 갑목","{{name}}님은 갑목(甲木) 일간입니다. 하늘을 향해 곧게 자라는 큰 나무처럼 목표가 분명하고, 한번 정한 길을 꾸준히 밀고 나가는 힘이 있습니다. 앞장서서 판을 여는 역할이 잘 어울립니다."
PERS_DM_EUL,1,"꺾이지 않는 풀, 을목","{{name}}님은 을목(乙木) 일간입니다. 덩굴과 화초처럼 환경에 맞춰 유연하게 뻗어 나가며, 사람 사이의 흐름을 읽고 필요한 자리를 찾아 들어가는 감각이 뛰어납니다."
PERS_DM_BYEONG,1,"한낮의 태양, 병화","{{name}}님은 병화(丙火) 일간입니다. 모든 것을 고르게 비추는 태양처럼 밝고 솔직하며, 드러내 놓고 행동할 때 힘을 얻습니다. 주변 사람들에게 자연스럽게 온기와 활력을 나눠 주는 편입니다."
PERS_DM_BYEONG,2,"세상을 비추는 빛, 병화","{{name}}님의 일간은 병화(丙火), 곧 태양입니다. 숨기기보다 보여 주는 쪽을 택하고, 분위기를 한순간에 환하게 바꾸는 표현력이 있습니다. 열정이 방향을 잡으면 누구보다 멀리 퍼져 나갑니다."
PERS_DM_JEONG,1,"어둠을 밝히는 등불, 정화","{{name}}님은 정화(丁火) 일간입니다. 촛불과 등불처럼 가까운 곳을 섬세하게 밝히는 기운으로, 한 사람 한 사람을 세심하게 살피고 오래 집중하는 힘이 있습니다."
PERS_DM_MU,1,"넓고 든든한 산, 무토","{{name}}님은 무토(戊土) 일간입니다. 큰 산처럼 쉽게 흔들리지 않고 여러 사람을 품는 포용력이 있어, 조직과 관계에서 중심을 잡아 주는 역할을 자주 맡게 됩니다."
PERS_DM_GI,1,"만물을 기르는 밭, 기토","{{name}}님은 기토(己土) 일간입니다. 씨앗을 받아 길러 내는 논밭처럼 실속을 챙기고, 사람과 일을 차근차근 가꾸어 결실로 만드는 데 능합니다."
PERS_DM_GYEONG,1,"단단한 원석, 경금","{{name}}님은 경금(庚金) 일간입니다. 다듬어지지 않은 쇠와 바위처럼 결단력과 추진력이 강하고, 옳다고 믿는 일에는 망설임 없이 나서는 의리가 있습니다."
PERS_DM_SIN,1,"빛나는 보석, 신금","{{name}}님은 신금(辛金) 일간입니다. 잘 세공된 보석처럼 감각이 예리하고 기준이 분명해, 작은 차이를 알아보고 완성도를 끌어올리는 데 강점이 있습니다."
PERS_DM_IM,1,"넓게 흐르는 바다, 임수","{{name}}님은 임수(壬水) 일간입니다. 큰 강과 바다처럼 품이 넓고 생각의 폭이 커서, 새로운 흐름을 빠르게 받아들이고 멀리 내다보는 시야를 가졌습니다."
PERS_DM_GYE,1,"스며드는 이슬비, 계수","{{name}}님은 계수(癸水) 일간입니다. 조용히 스며드는 빗물처럼 섬세하고 직관이 뛰어나, 겉으로 드러나지 않는 마음과 분위기를 잘 읽어 냅니다."
PERS_BIGEOP_MANY,1,나를 믿는 힘이 강한 사주,"사주에 비겁(나와 같은 기운)이 {{ss.group.BIGEOP}}개로 많습니다. 자존심과 독립심이 강해 누구의 지시보다 스스로 정한 길을 따르려 하고, 경쟁 상황에서 오히려 힘을 냅니다."
PERS_SIKSANG_MANY,1,표현하고 만들어 내는 사주,"사주에 식상(재능과 표현의 기운)이 {{ss.group.SIKSANG}}개로 많습니다. 아이디어와 말이 풍부하고 손재주나 창작 감각이 좋아, 머릿속 생각을 결과물로 만들어 낼 때 가장 행복합니다."
PERS_JAESEONG_MANY,1,현실 감각이 뛰어난 사주,"사주에 재성(결과와 실속의 기운)이 {{ss.group.JAESEONG}}개로 많습니다. 손익을 빠르게 따지고 실용적인 선택을 잘하며, 여러 일을 동시에 챙기는 관리 능력이 돋보입니다."
PERS_GWANSEONG_MANY,1,책임감이 무거운 사주,"사주에 관성(규칙과 책임의 기운)이 {{ss.group.GWANSEONG}}개로 많습니다. 주변의 기대를 크게 느끼고 맡은 역할을 반듯하게 해내려 하지만, 스스로에게 너무 엄격해지지 않도록 쉬어 가는 연습이 필요합니다."
PERS_INSEONG_MANY,1,생각이 깊은 사주,"사주에 인성(배움과 생각의 기운)이 {{ss.group.INSEONG}}개로 많습니다. 신중하고 이해심이 깊어 한 번 더 생각한 뒤 움직이지만, 준비가 길어지면 실행 시기를 놓칠 수 있어 마감 시점을 정해 두면 좋습니다."
PERS_GYEOK_JEONGGWAN,1,원칙을 지키는 정관격,"{{name}}님의 사주는 정관격입니다. 정관(질서와 명예를 뜻하는 기운)이 사주의 틀을 이루어, 규칙 안에서 신뢰를 쌓고 맡은 책임을 끝까지 지키는 모습이 성향의 바탕이 됩니다."
PERS_GYEOK_PYEONGWAN,1,강단 있는 편관격,"{{name}}님의 사주는 편관격입니다. 편관(나를 단련시키는 기운)이 사주의 틀을 이루어, 어려운 상황일수록 책임감과 승부욕이 살아나고 약한 사람을 지키려는 의리가 강합니다."
PERS_GYEOK_JEONGJAE,1,꼼꼼하고 성실한 정재격,"{{name}}님의 사주는 정재격입니다. 정재(차곡차곡 쌓는 재물의 기운)가 사주의 틀을 이루어, 계획적이고 현실 감각이 뛰어나며 맡은 일을 끝까지 책임지는 성실함이 돋보입니다."
PERS_GYEOK_PYEONJAE,1,통이 크고 사교적인 편재격,"{{name}}님의 사주는 편재격입니다. 편재(넓게 오가는 재물의 기운)가 사주의 틀을 이루어, 사람을 두루 사귀고 기회를 빠르게 알아보며 마음 씀씀이가 넉넉한 편입니다."
PERS_GYEOK_SIKSIN,1,여유롭고 따뜻한 식신격,"{{name}}님의 사주는 식신격입니다. 식신(재능을 즐기며 펼치는 기운)이 사주의 틀을 이루어, 성품이 온화하고 소소한 즐거움에서 행복을 찾으며 좋아하는 일을 꾸준히 이어 가는 힘이 있습니다."
PERS_GYEOK_SANGGWAN,1,재치 있고 거침없는 상관격,"{{name}}님의 사주는 상관격입니다. 상관(틀을 깨는 표현의 기운)이 사주의 틀을 이루어, 말솜씨와 순발력이 뛰어나고 불합리한 것을 그냥 넘기지 않는 개성이 강합니다."
PERS_GYEOK_JEONGIN,1,배려 깊고 학구적인 정인격,"{{name}}님의 사주는 정인격입니다. 정인(보살핌과 배움의 기운)이 사주의 틀을 이루어, 생각이 깊고 예의 바르며 배우고 가르치는 일에서 보람을 느끼는 성향입니다."
PERS_GYEOK_PYEONIN,1,직관이 날카로운 편인격,"{{name}}님의 사주는 편인격입니다. 편인(남다른 시각의 기운)이 사주의 틀을 이루어, 눈치가 빠르고 독창적인 생각을 즐기며 관심 있는 분야를 깊이 파고드는 집중력이 있습니다."
PERS_GYEOK_GEONROK,1,자립심 강한 건록격,"{{name}}님의 사주는 건록격입니다. 태어난 달의 기운이 일간과 같아, 스스로 서려는 의지가 강하고 남에게 기대기보다 자기 힘으로 해내는 데서 자부심을 느낍니다."
PERS_GYEOK_YANGIN,1,뜨거운 승부사 양인격,"{{name}}님의 사주는 양인격입니다. 태어난 달에 일간을 강하게 받쳐 주는 기운이 있어, 추진력과 경쟁심이 뛰어나고 한번 마음먹은 일은 끝까지 밀어붙이는 뚝심이 있습니다."
PERS_GAP_WOOD_OVER40,1,빽빽한 숲을 이룬 나무,"갑목 일간에 사주 전체의 목 기운이 {{oh.ratio.WOOD|pct}}에 이릅니다. 한번 정한 방향을 끝까지 밀고 가는 힘이 크지만, 숲이 빽빽하면 햇빛이 들 틈이 좁아지듯 다른 의견을 받아들일 여유가 줄어들 수 있습니다."
PERS_WOOD_OVER40,1,목 기운이 강한 사주,"사주에서 목(木)의 비중이 {{oh.ratio.WOOD|pct}}로 높습니다. 성장과 시작을 뜻하는 기운이라 새 일을 벌이는 추진력이 좋고, 마무리보다는 출발 단계에서 힘이 더 잘 드러나는 편입니다."
PERS_FIRE_OVER40,1,화 기운이 넘치는 사주,"사주에서 화(火)의 비중이 {{oh.ratio.FIRE|pct}}로 높습니다. 열정과 표현력이 뛰어나 분위기를 이끌지만, 감정이 한꺼번에 올라오기 쉬우니 중요한 말은 한 번 식힌 뒤 꺼내는 편이 좋습니다."
PERS_EARTH_OVER40,1,토 기운이 두터운 사주,"사주에서 토(土)의 비중이 {{oh.ratio.EARTH|pct}}로 높습니다. 믿음직하고 참을성이 강한 성향이지만, 한번 자리 잡은 생각을 바꾸기 어려워 변화 앞에서 머뭇거리기 쉽습니다."
PERS_METAL_OVER40,1,금 기운이 날카로운 사주,"사주에서 금(金)의 비중이 {{oh.ratio.METAL|pct}}로 높습니다. 옳고 그름을 분명히 가리고 결단이 빠른 성향이지만, 말이 곧게 나가 상대가 차갑게 느낄 수 있으니 표현에 온기를 더해 보세요."
PERS_WATER_OVER40,1,수 기운이 깊은 사주,"사주에서 수(水)의 비중이 {{oh.ratio.WATER|pct}}로 높습니다. 생각이 깊고 적응력이 뛰어난 성향이지만, 걱정이 꼬리를 물기 쉬우니 생각을 글로 적어 정리하는 습관이 도움이 됩니다."
PERS_WOOD_OVER30,1,목 기운이 두드러진 사주,"사주에서 목(木)의 비중이 {{oh.ratio.WOOD|pct}}로 활발한 편입니다. 호기심과 성장 욕구가 강해 새로운 것을 배우는 데 적극적이고, 목표가 생기면 곧게 뻗어 나가는 성향이 있습니다."
PERS_FIRE_OVER30,1,화 기운이 두드러진 사주,"사주에서 화(火)의 비중이 {{oh.ratio.FIRE|pct}}로 활발한 편입니다. 표현하고 드러내는 기운이 강해 첫인상이 선명하고, 감정이 빠르게 올라왔다가 금방 가라앉는 경향이 있습니다."
PERS_EARTH_OVER30,1,토 기운이 두드러진 사주,"사주에서 토(土)의 비중이 {{oh.ratio.EARTH|pct}}로 활발한 편입니다. 사람과 일 사이에서 중심을 잡아 주는 역할에 익숙하고, 쉽게 흔들리지 않는 안정감이 주변에 신뢰를 줍니다."
PERS_METAL_OVER30,1,금 기운이 두드러진 사주,"사주에서 금(金)의 비중이 {{oh.ratio.METAL|pct}}로 활발한 편입니다. 기준이 분명하고 맺고 끊음이 확실해, 복잡한 상황에서도 우선순위를 빠르게 정리해 내는 힘이 있습니다."
PERS_WATER_OVER30,1,수 기운이 두드러진 사주,"사주에서 수(水)의 비중이 {{oh.ratio.WATER|pct}}로 활발한 편입니다. 관찰력과 이해력이 좋아 상대의 마음을 잘 읽고, 상황에 맞춰 유연하게 방법을 바꾸는 데 능합니다."
PERS_WOOD_NONE,1,목 기운이 드러나지 않음,"사주 원국에 목(木)이 보이지 않습니다. 목은 새로 시작하는 기운이라, 익숙한 방식을 지키는 데는 강하지만 첫발을 떼는 순간에 망설이기 쉽습니다. 작은 목표부터 바로 시작해 보는 연습이 도움이 됩니다."
PERS_FIRE_NONE,1,화 기운이 드러나지 않음,"사주 원국에 화(火)가 보이지 않습니다. 화는 드러내는 기운이라, 속으로는 뜨거운 마음이 있어도 겉으로 표현하지 않아 오해를 사기 쉽습니다. 고마움과 칭찬을 말로 전하는 습관이 관계를 따뜻하게 만듭니다."
PERS_EARTH_NONE,1,토 기운이 드러나지 않음,"사주 원국에 토(土)가 보이지 않습니다. 토는 중심을 잡는 기운이라, 관심사가 넓은 대신 하나에 오래 머물기 어려울 수 있습니다. 생활의 기본 루틴을 정해 두면 흩어진 힘이 한곳에 모입니다."
PERS_METAL_NONE,1,금 기운이 드러나지 않음,"사주 원국에 금(金)이 보이지 않습니다. 금은 정리하고 끊어 내는 기운이라, 여러 가능성을 열어 두는 대신 결정을 미루기 쉬운 편입니다. 기한과 기준을 먼저 정해 두면 이 부분이 자연스럽게 채워집니다."
PERS_WATER_NONE,1,수 기운이 드러나지 않음,"사주 원국에 수(水)가 보이지 않습니다. 수는 멈추고 돌아보는 기운이라, 행동은 빠르지만 쉬어 가는 타이밍을 놓치기 쉽습니다. 하루 중 조용히 생각을 정리하는 시간을 따로 만들어 보세요."
PERS_ADVICE_VERY_WEAK,1,성향 조언,"다른 사람의 기대에 맞추느라 지치기 전에, 싫은 것은 싫다고 부드럽게 말하는 연습을 해 보세요. 나를 지키는 말이 관계도 오래 지켜 줍니다."
PERS_ADVICE_WEAK,1,성향 조언,"비교하는 마음이 올라올 때는 어제의 나와만 견주어 보세요. 작은 성취를 기록해 두면 자신감이 차곡차곡 쌓입니다."
PERS_ADVICE_BALANCED,1,성향 조언,"어느 쪽이든 할 수 있는 사람이라 오히려 선택을 미루기 쉽습니다. 마음이 조금 더 끌리는 쪽을 기준으로 빠르게 정해 보세요."
PERS_ADVICE_STRONG,1,성향 조언,"내 방식이 맞다는 확신이 들 때일수록 한 번 더 질문해 보세요. 다른 사람의 방식에서 의외의 지름길을 찾을 수 있습니다."
PERS_ADVICE_VERY_STRONG,1,성향 조언,"에너지가 넘칠 때는 몸을 쓰는 활동으로 풀어 주세요. 운동이나 봉사처럼 힘을 밖으로 흘려보내면 날카로움이 부드러워집니다."
WEALTH_FALLBACK,1,재물운 한눈에 보기,"{{name}}님의 재성은 {{ss.group.JAESEONG}}개, 식상은 {{ss.group.SIKSANG}}개입니다. 재물은 벌어들이는 기운(식상)과 거두는 기운(재성)의 균형으로 읽으며, 아래 대운 흐름에서 재물 기회가 커지는 시기를 함께 확인해 보세요."
WEALTH_FALLBACK,2,재물의 흐름,"재물운은 일간 {{dm.nameKo}}의 힘과 재성의 크기를 함께 봅니다. {{name}}님은 일간의 힘이 {{strength.band|ko}}에 속해, 자신의 속도에 맞는 방식으로 재물을 모을 때 가장 안정적입니다."
WEALTH_JAE0,1,재성이 드러나지 않은 사주,"사주에 재성(돈과 결과를 뜻하는 기운)이 드러나 있지 않습니다. 재물 자체보다 일의 의미나 사람을 우선하는 경향이 있어, 수입과 지출의 흐름을 숫자로 관리하는 습관을 들이면 도움이 됩니다."
WEALTH_JAE0_WEAK,1,재물보다 기반을 먼저 다지는 구조,"사주에 재성(돈과 결과를 뜻하는 기운)이 드러나 있지 않고 일간의 힘도 {{strength.band|ko}} 쪽입니다. 큰돈을 좇기보다 안정적인 수입원을 하나 두고 기술과 신뢰를 쌓을 때 재물이 자연스럽게 따라오는 흐름입니다."
